,Name,Description,Prices,Availability,Image,URL,Main
11,Cepillo Dental Farmatodo Viajero Und,Farmatodo 1 Unidad,809.000,Disponible,https://lh3.googleusercontent.com/WHc46dyXd-rEpIYo305uWZxecOKX014frLTPPVqHyhctfL84sCtjAezj7piASOeq37MzWUGYURJAZe-1K57e823ROblnrhQ9gPgU=s650-rw,https://farmatodo.com.ve/buscar?producto=Cepillo%20Dental%20Farmatodo%20Viajero%20Und&departamento=Todos&filtros=,Caracas 
12,Labial Valmy Xtreme Color Fucsia 05,"Labial Valmy Xtreme Color Fucsia 05

",609.000,Disponible,https://lh3.googleusercontent.com/j-Zd0Duan3BspXfRQWEWEGVB8UJv3USyeExrxcUeSorkiVBT_CR4vMUd62Pxt6RMp5XOVLFwA5UMKB3z8e5aGtLS9TSaieZXSEo=s650-rw,https://farmatodo.com.ve/buscar?producto=Labial%20Valmy%20Xtreme%20Color%20Fucsia%2005&departamento=Todos&filtros=,Caracas 
13,Esmalte Valmy Endurecedor N227 Sinfonia,"Esmalte Valmy Endurecedor N227 Sinfonia
",820.700,Disponible,https://lh3.googleusercontent.com/tzlBXuWGFUHOu0TtXT4t7-OdVKPxYUmvBi5K-3Yjg4GgdXntyYT1GHTBhbnEk8RNCVOLztlsl-WyNlhO7kTfhtS-sHN0hJpZJw79=s650-rw,https://farmatodo.com.ve/buscar?producto=Esmalte%20Valmy%20Endurecedor%20N227%20Sinfonia&departamento=Todos&filtros=,Caracas 
14,Esmalte Valmy , Endurecedor Ritual 257 ,820.700,Disponible,https://lh3.googleusercontent.com/c_brpEBcoozCNO_bdYtS2EKsd5TNA-elJuXzt3jZBt_x8uEWPB4Um8kcm3KkGlTEPaHSEOzi4zYzQe1gvqyB_r65g1dh3uPVgQ4=s650-rw,https://farmatodo.com.ve/buscar?producto=Esmalte%20Valmy%20&departamento=Todos&filtros=,Caracas 
15,"Esmalte Valmy Los Roques 235
","Esmalte Valmy Los Roques 235
",820.700,Disponible,https://lh3.googleusercontent.com/Gg-RfwbiND4i3863Pr8-brMJTt9d-Fr1AzpiiNn0MhDVHiJ6_t0tuG_SDLe4RUAyx6AmDpGm1hOC1Z37WzegovclFFkN7euY0VM=s650-rw,"https://farmatodo.com.ve/buscar?producto=Esmalte%20Valmy%20Los%20Roques%20235
&departamento=Todos&filtros=",Caracas 
16,Esmalte Valmy Quimica Endurecedora Ajo-limon,Esmalte Valmy Quimica Endurecedora Ajo-limon,820.700,Disponible,https://lh3.googleusercontent.com/gbUv1BijKSplnjX8FVDHTNmWJDEMg71PYLv_cN2KreyTRmBV0yVWrpVAi5STSkvaHe2gqsJykwWcoycq5PvI0qXjs86m9DmX12_J=s650-rw,https://farmatodo.com.ve/buscar?producto=Esmalte%20Valmy%20Quimica%20Endurecedora%20Ajo-limon&departamento=Todos&filtros=,Caracas 
17,"Esmalte Valmy Xtreme N110 I Love You
","Esmalte Valmy Xtreme N110 I Love You
",609.000,Disponible,https://lh3.googleusercontent.com/EZ4D48F8R1mpe5rKqML3DnTIyDVOLqgnHuBmKHN1-LmWtC5DAJdHnofSOyzas34lQA0HoIQ26YMoFPaa41xSIEfjI9tRp0gPU4U=s650-rw,"https://farmatodo.com.ve/buscar?producto=Esmalte%20Valmy%20Xtreme%20N110%20I%20Love%20You
&departamento=Todos&filtros=",Caracas 
18,Labial Valmy Perfect  Romance 08,Labial Valmy Perfect  Romance 08,680.000,Disponible,https://lh3.googleusercontent.com/lZCK9y6Q55-N_Ndnpsn1RkqCOHsDvI-xaHTgI7W6F6KRmn4PupIW6Gek5oyJZEAjYN24dpbMqbb93TvJ6PpMBEx8yeTUJLUqLOo=s650-rw,https://farmatodo.com.ve/buscar?producto=Labial%20Valmy%20Perfect%20%20Romance%2008&departamento=Todos&filtros=,Caracas 
19,"Esmalte Valmy Ocaso 237
","Esmalte Valmy Ocaso 237
",820.700,Disponible,https://lh3.googleusercontent.com/0MU2SOhyVXHidMIMM_84qa2bNPXS8pu0SDW7TeQV2Nqr0k9aJMgWHtS1wKmcX2HTUGS_NZhaCsYiNLiUKLrWA8OKW-eH5JOyJg=s650-rw,"https://farmatodo.com.ve/buscar?producto=Esmalte%20Valmy%20Ocaso%20237
&departamento=Todos&filtros=",Caracas 
20,Labial Valmy Xtreme Color Flamenco 06,"Labial Valmy Xtreme Color Flamenco 06
",609.000,Disponible,https://lh3.googleusercontent.com/EsXPAFVtomplej0M6tXPweJyiycMA-j7OG92BWpYH5AYy5jgAGowrJfDgJ2PFSIaV2MEgYiIic-9YiT2BsRh2S1fZQuRAq8ayms=s650-rw,https://farmatodo.com.ve/buscar?producto=Labial%20Valmy%20Xtreme%20Color%20Flamenco%2006&departamento=Todos&filtros=,Caracas 
21,"Esmalte Valmy Xtreme N111 Namaste
","Esmalte Valmy Xtreme N111 Namaste
",609.000,Disponible,https://lh3.googleusercontent.com/1AfCU04aynkJUKWy643cuGgC_BDaUmnPkRii8-ImoaWGqZEOQ_0jaRMUSeXv4xx0CtR9cIxtYzfAcoqWV9hOtP3s4tWgrht7KZM=s650-rw,"https://farmatodo.com.ve/buscar?producto=Esmalte%20Valmy%20Xtreme%20N111%20Namaste
&departamento=Todos&filtros=",Caracas 
22,Esmalte Valmy Xtreme 117 Banana Split (101117),Esm Valmy Xtreme 117 Banana Split (101117),609.000,Disponible,https://lh3.googleusercontent.com/RwXlP5600wrBoVOhUzd2lhEr70RoJn2AFX3JlncBeijmROWo2Cbu8RhtR2JZy5T7Jrwy6oaD6LCDuvEMOlnbUJdseJ3Uh9fV8os=s650-rw,https://farmatodo.com.ve/buscar?producto=Esmalte%20Valmy%20Xtreme%20117%20Banana%20Split%20(101117)&departamento=Todos&filtros=,Caracas 
23,Esmalte Valmy Endurecedor 01,Esmalte Valmy Endurecedor 01,820.700,Disponible,https://lh3.googleusercontent.com/SkzR2DDY0bMgWx1w75glDHXVpoVABJi9SB6ZqJNHkXON48PWYFJibV3VoQomKrjsoRkaVuaAWnxHKUukUXueHQxWb3Qeujc-ASg=s650-rw,https://farmatodo.com.ve/buscar?producto=Esmalte%20Valmy%20Endurecedor%2001&departamento=Todos&filtros=,Caracas 
